,Unnamed: 0,video_catalog_id,s3_input_video_path,keypath,txn_hash,file_name,device_id,request_id,aws_copy,payload
0,0,14614180137,https://fleetdata-production.s3.amazonaws.com/N641749401571071/74da10855034a60de7942ddfdd345e7e57b8ec6f/trimmedVideos/alert/1_1320_1799/inputVideo.mp4,N641749401571071/74da10855034a60de7942ddfdd345e7e57b8ec6f,6cbdd0b418a04ef01d2b3f66e8f88aeda93f8531,0_trip1_part1_53.4607_-2.3359_0.0_1608106841493_y.mp4,16318410,14444207,aws s3 cp s3://fleetdata-production/N641749401571071/74da10855034a60de7942ddfdd345e7e57b8ec6f/trimmedVideos/alert/1_1320_1799/inputVideo.mp4 s3://fleetdata-protected-production/N641749401571071/74da10855034a60de7942ddfdd345e7e57b8ec6f/trimmedVideos/alert/1_1320_1799/inputVideo.mp4,"{""numberOfMetadataFiles"": 0, ""traceId"": ""X@wgU@ptuDUehwpL4h-4VAAAAAk"", ""fileName"": ""0_trip1_part1_53.4607_-2.3359_0.0_1608106841493_y.mp4"", ""videoDetailsRecordId"": 0, ""partId"": 1, ""s3InputVideoPath"": ""https://fleetdata-protected-production.s3.amazonaws.com/N641749401571071/74da10855034a60de7942ddfdd345e7e57b8ec6f/trimmedVideos/alert/1_1320_1799/inputVideo.mp4"", ""alreadyAvailable"": true, ""deviceId"": 16318410, ""blurring_params"": {""blur_objects_list"": [""face"", ""license_plate""]}, ""txnHash"": ""6cbdd0b418a04ef01d2b3f66e8f88aeda93f8531"", ""requestId"": 14444207, ""function"": ""blur"", ""tenantId"": 3475, ""tenantBucket"": ""fleetdata-production"", ""key"": ""N641749401571071/74da10855034a60de7942ddfdd345e7e57b8ec6f""}"
1,1,14614252355,https://fleetdata-production.s3.amazonaws.com/N641749401571071/30226817ac70a1617ffe7e1c308198f2fe1bbe55/trimmedVideos/alert/1_0_689/inputVideo.mp4,N641749401571071/30226817ac70a1617ffe7e1c308198f2fe1bbe55,14aedf9f7777f850cbd77d19497d253267c22a28,0_trip1_part1_53.4544_-2.3388_0.0_1608106901443_y.mp4,16318410,14444244,aws s3 cp s3://fleetdata-production/N641749401571071/30226817ac70a1617ffe7e1c308198f2fe1bbe55/trimmedVideos/alert/1_0_689/inputVideo.mp4 s3://fleetdata-protected-production/N641749401571071/30226817ac70a1617ffe7e1c308198f2fe1bbe55/trimmedVideos/alert/1_0_689/inputVideo.mp4,"{""numberOfMetadataFiles"": 0, ""traceId"": ""X@wgU@ptuDUehwpL4h-4VAAAAAk"", ""fileName"": ""0_trip1_part1_53.4544_-2.3388_0.0_1608106901443_y.mp4"", ""videoDetailsRecordId"": 0, ""partId"": 1, ""s3InputVideoPath"": ""https://fleetdata-protected-production.s3.amazonaws.com/N641749401571071/30226817ac70a1617ffe7e1c308198f2fe1bbe55/trimmedVideos/alert/1_0_689/inputVideo.mp4"", ""alreadyAvailable"": true, ""deviceId"": 16318410, ""blurring_params"": {""blur_objects_list"": [""face"", ""license_plate""]}, ""txnHash"": ""14aedf9f7777f850cbd77d19497d253267c22a28"", ""requestId"": 14444244, ""function"": ""blur"", ""tenantId"": 3475, ""tenantBucket"": ""fleetdata-production"", ""key"": ""N641749401571071/30226817ac70a1617ffe7e1c308198f2fe1bbe55""}"
2,2,14614262998,https://fleetdata-production.s3.amazonaws.com/N641749401571071/589d8f18abe93c25f51c16aa1547b709e9056580/trimmedVideos/alert/1_1200_1799/inputVideo.mp4,N641749401571071/589d8f18abe93c25f51c16aa1547b709e9056580,340a2e7335a8010b6d0c14e2d0ee33ed316b529e,0_trip1_part1_53.2665_-2.2348_0.0_1608133435660_y.mp4,16317146,14444251,aws s3 cp s3://fleetdata-production/N641749401571071/589d8f18abe93c25f51c16aa1547b709e9056580/trimmedVideos/alert/1_1200_1799/inputVideo.mp4 s3://fleetdata-protected-production/N641749401571071/589d8f18abe93c25f51c16aa1547b709e9056580/trimmedVideos/alert/1_1200_1799/inputVideo.mp4,"{""numberOfMetadataFiles"": 0, ""traceId"": ""X@wgU@ptuDUehwpL4h-4VAAAAAk"", ""fileName"": ""0_trip1_part1_53.2665_-2.2348_0.0_1608133435660_y.mp4"", ""videoDetailsRecordId"": 0, ""partId"": 1, ""s3InputVideoPath"": ""https://fleetdata-protected-production.s3.amazonaws.com/N641749401571071/589d8f18abe93c25f51c16aa1547b709e9056580/trimmedVideos/alert/1_1200_1799/inputVideo.mp4"", ""alreadyAvailable"": true, ""deviceId"": 16317146, ""blurring_params"": {""blur_objects_list"": [""face"", ""license_plate""]}, ""txnHash"": ""340a2e7335a8010b6d0c14e2d0ee33ed316b529e"", ""requestId"": 14444251, ""function"": ""blur"", ""tenantId"": 3475, ""tenantBucket"": ""fleetdata-production"", ""key"": ""N641749401571071/589d8f18abe93c25f51c16aa1547b709e9056580""}"
3,3,14614782079,https://fleetdata-production.s3.amazonaws.com/N641749401571071/5ae4194644870dc68e11294b687f7356cf0bffa4/trimmedVideos/alert/1_720_1439/inputVideo.mp4,N641749401571071/5ae4194644870dc68e11294b687f7356cf0bffa4,15efcbe08faf1bebe592027d0175e5be118171a1,0_trip1_part1_53.4915_-2.3796_0.0_1608116011256_y.mp4,16317594,14444551,aws s3 cp s3://fleetdata-production/N641749401571071/5ae4194644870dc68e11294b687f7356cf0bffa4/trimmedVideos/alert/1_720_1439/inputVideo.mp4 s3://fleetdata-protected-production/N641749401571071/5ae4194644870dc68e11294b687f7356cf0bffa4/trimmedVideos/alert/1_720_1439/inputVideo.mp4,"{""numberOfMetadataFiles"": 0, ""traceId"": ""X@wgU@ptuDUehwpL4h-4VAAAAAk"", ""fileName"": ""0_trip1_part1_53.4915_-2.3796_0.0_1608116011256_y.mp4"", ""videoDetailsRecordId"": 0, ""partId"": 1, ""s3InputVideoPath"": ""https://fleetdata-protected-production.s3.amazonaws.com/N641749401571071/5ae4194644870dc68e11294b687f7356cf0bffa4/trimmedVideos/alert/1_720_1439/inputVideo.mp4"", ""alreadyAvailable"": true, ""deviceId"": 16317594, ""blurring_params"": {""blur_objects_list"": [""face"", ""license_plate""]}, ""txnHash"": ""15efcbe08faf1bebe592027d0175e5be118171a1"", ""requestId"": 14444551, ""function"": ""blur"", ""tenantId"": 3475, ""tenantBucket"": ""fleetdata-production"", ""key"": ""N641749401571071/5ae4194644870dc68e11294b687f7356cf0bffa4""}"
4,4,14615022019,https://fleetdata-production.s3.amazonaws.com/N641749401571071/8bdcec30f2ff83b492b204e5978418ee58c44fd7/trimmedVideos/alert/1_840_1559/inputVideo.mp4,N641749401571071/8bdcec30f2ff83b492b204e5978418ee58c44fd7,fc5682d4e1e2222c864df33d8560268ca7e003e9,0_trip1_part1_53.4784_-2.3748_0.0_1608116071200_y.mp4,16317594,14444688,aws s3 cp s3://fleetdata-production/N641749401571071/8bdcec30f2ff83b492b204e5978418ee58c44fd7/trimmedVideos/alert/1_840_1559/inputVideo.mp4 s3://fleetdata-protected-production/N641749401571071/8bdcec30f2ff83b492b204e5978418ee58c44fd7/trimmedVideos/alert/1_840_1559/inputVideo.mp4,"{""numberOfMetadataFiles"": 0, ""traceId"": ""X@wgU@ptuDUehwpL4h-4VAAAAAk"", ""fileName"": ""0_trip1_part1_53.4784_-2.3748_0.0_1608116071200_y.mp4"", ""videoDetailsRecordId"": 0, ""partId"": 1, ""s3InputVideoPath"": ""https://fleetdata-protected-production.s3.amazonaws.com/N641749401571071/8bdcec30f2ff83b492b204e5978418ee58c44fd7/trimmedVideos/alert/1_840_1559/inputVideo.mp4"", ""alreadyAvailable"": true, ""deviceId"": 16317594, ""blurring_params"": {""blur_objects_list"": [""face"", ""license_plate""]}, ""txnHash"": ""fc5682d4e1e2222c864df33d8560268ca7e003e9"", ""requestId"": 14444688, ""function"": ""blur"", ""tenantId"": 3475, ""tenantBucket"": ""fleetdata-production"", ""key"": ""N641749401571071/8bdcec30f2ff83b492b204e5978418ee58c44fd7""}"
5,5,14657837170,https://fleetdata-production.s3.amazonaws.com/N641749401571071/f1221cad076fcdcb5cea351129586208536a1479/trimmedVideos/alert/1_690_1799/inputVideo.mp4,N641749401571071/f1221cad076fcdcb5cea351129586208536a1479,0701a99e3964e35cade3e21db52b2a1f6498ca8e,0_trip1_part1_53.4704_-2.3277_0.0_1608277825702_y.mp4,16317644,14492548,aws s3 cp s3://fleetdata-production/N641749401571071/f1221cad076fcdcb5cea351129586208536a1479/trimmedVideos/alert/1_690_1799/inputVideo.mp4 s3://fleetdata-protected-production/N641749401571071/f1221cad076fcdcb5cea351129586208536a1479/trimmedVideos/alert/1_690_1799/inputVideo.mp4,"{""numberOfMetadataFiles"": 0, ""traceId"": ""X@wgU@ptuDUehwpL4h-4VAAAAAk"", ""fileName"": ""0_trip1_part1_53.4704_-2.3277_0.0_1608277825702_y.mp4"", ""videoDetailsRecordId"": 0, ""partId"": 1, ""s3InputVideoPath"": ""https://fleetdata-protected-production.s3.amazonaws.com/N641749401571071/f1221cad076fcdcb5cea351129586208536a1479/trimmedVideos/alert/1_690_1799/inputVideo.mp4"", ""alreadyAvailable"": true, ""deviceId"": 16317644, ""blurring_params"": {""blur_objects_list"": [""face"", ""license_plate""]}, ""txnHash"": ""0701a99e3964e35cade3e21db52b2a1f6498ca8e"", ""requestId"": 14492548, ""function"": ""blur"", ""tenantId"": 3475, ""tenantBucket"": ""fleetdata-production"", ""key"": ""N641749401571071/f1221cad076fcdcb5cea351129586208536a1479""}"
6,6,14657949322,https://fleetdata-production.s3.amazonaws.com/N641749401571071/c52c95bf153a85cba45639e6ff3bf777dd509cc2/trimmedVideos/alert/1_510_1229/inputVideo.mp4,N641749401571071/c52c95bf153a85cba45639e6ff3bf777dd509cc2,796304020a42c7d4f09dc6fe04feb9eb85e6b352,0_trip1_part1_53.4629_-2.3125_0.0_1608193559717_y.mp4,16317594,14492636,aws s3 cp s3://fleetdata-production/N641749401571071/c52c95bf153a85cba45639e6ff3bf777dd509cc2/trimmedVideos/alert/1_510_1229/inputVideo.mp4 s3://fleetdata-protected-production/N641749401571071/c52c95bf153a85cba45639e6ff3bf777dd509cc2/trimmedVideos/alert/1_510_1229/inputVideo.mp4,"{""numberOfMetadataFiles"": 0, ""traceId"": ""X@wgU@ptuDUehwpL4h-4VAAAAAk"", ""fileName"": ""0_trip1_part1_53.4629_-2.3125_0.0_1608193559717_y.mp4"", ""videoDetailsRecordId"": 0, ""partId"": 1, ""s3InputVideoPath"": ""https://fleetdata-protected-production.s3.amazonaws.com/N641749401571071/c52c95bf153a85cba45639e6ff3bf777dd509cc2/trimmedVideos/alert/1_510_1229/inputVideo.mp4"", ""alreadyAvailable"": true, ""deviceId"": 16317594, ""blurring_params"": {""blur_objects_list"": [""face"", ""license_plate""]}, ""txnHash"": ""796304020a42c7d4f09dc6fe04feb9eb85e6b352"", ""requestId"": 14492636, ""function"": ""blur"", ""tenantId"": 3475, ""tenantBucket"": ""fleetdata-production"", ""key"": ""N641749401571071/c52c95bf153a85cba45639e6ff3bf777dd509cc2""}"
7,7,14657957391,https://fleetdata-production.s3.amazonaws.com/N641749401571071/ba56f22d7e3d47defc4c01826541d8a2a021c808/trimmedVideos/alert/1_720_1439/inputVideo.mp4,N641749401571071/ba56f22d7e3d47defc4c01826541d8a2a021c808,8857db6693641569efd396b6a50351a7aff2909b,0_trip1_part1_53.4576_-2.4106_0.0_1608202559697_y.mp4,16317594,14492679,aws s3 cp s3://fleetdata-production/N641749401571071/ba56f22d7e3d47defc4c01826541d8a2a021c808/trimmedVideos/alert/1_720_1439/inputVideo.mp4 s3://fleetdata-protected-production/N641749401571071/ba56f22d7e3d47defc4c01826541d8a2a021c808/trimmedVideos/alert/1_720_1439/inputVideo.mp4,"{""numberOfMetadataFiles"": 0, ""traceId"": ""X@wgU@ptuDUehwpL4h-4VAAAAAk"", ""fileName"": ""0_trip1_part1_53.4576_-2.4106_0.0_1608202559697_y.mp4"", ""videoDetailsRecordId"": 0, ""partId"": 1, ""s3InputVideoPath"": ""https://fleetdata-protected-production.s3.amazonaws.com/N641749401571071/ba56f22d7e3d47defc4c01826541d8a2a021c808/trimmedVideos/alert/1_720_1439/inputVideo.mp4"", ""alreadyAvailable"": true, ""deviceId"": 16317594, ""blurring_params"": {""blur_objects_list"": [""face"", ""license_plate""]}, ""txnHash"": ""8857db6693641569efd396b6a50351a7aff2909b"", ""requestId"": 14492679, ""function"": ""blur"", ""tenantId"": 3475, ""tenantBucket"": ""fleetdata-production"", ""key"": ""N641749401571071/ba56f22d7e3d47defc4c01826541d8a2a021c808""}"
8,8,14657964183,https://fleetdata-production.s3.amazonaws.com/N641749401571071/43003a2e047d1937298add7dc3748b9cd9981c84/trimmedVideos/alert/1_330_1049/inputVideo.mp4,N641749401571071/43003a2e047d1937298add7dc3748b9cd9981c84,21a929be32712d46ef23e20e56c9762372b59af7,0_trip1_part1_53.4663_-2.3940_0.0_1608198419728_y.mp4,16317594,14492650,aws s3 cp s3://fleetdata-production/N641749401571071/43003a2e047d1937298add7dc3748b9cd9981c84/trimmedVideos/alert/1_330_1049/inputVideo.mp4 s3://fleetdata-protected-production/N641749401571071/43003a2e047d1937298add7dc3748b9cd9981c84/trimmedVideos/alert/1_330_1049/inputVideo.mp4,"{""numberOfMetadataFiles"": 0, ""traceId"": ""X@wgU@ptuDUehwpL4h-4VAAAAAk"", ""fileName"": ""0_trip1_part1_53.4663_-2.3940_0.0_1608198419728_y.mp4"", ""videoDetailsRecordId"": 0, ""partId"": 1, ""s3InputVideoPath"": ""https://fleetdata-protected-production.s3.amazonaws.com/N641749401571071/43003a2e047d1937298add7dc3748b9cd9981c84/trimmedVideos/alert/1_330_1049/inputVideo.mp4"", ""alreadyAvailable"": true, ""deviceId"": 16317594, ""blurring_params"": {""blur_objects_list"": [""face"", ""license_plate""]}, ""txnHash"": ""21a929be32712d46ef23e20e56c9762372b59af7"", ""requestId"": 14492650, ""function"": ""blur"", ""tenantId"": 3475, ""tenantBucket"": ""fleetdata-production"", ""key"": ""N641749401571071/43003a2e047d1937298add7dc3748b9cd9981c84""}"
